"Signal","Type","DataType","Deprecated","Unit","Min","Max","Desc","Comment","Allowed","Id"
"Vehicle","branch","","","","","","High-level vehicle data.","","","ccc825f94139544dbb5f4bfd033bece6"
"Vehicle.VersionVSS","branch","","","","","","Supported Version of VSS","","","9a687e56f1305eedb20f6a021ea58f48"
"Vehicle.VersionVSS.Major","attribute","uint32","","","","","Supported Version of VSS - Major version","","","5edf1a338c975cbb84d4ce3cfe1aa4b4"
"Vehicle.VersionVSS.Minor","attribute","uint32","","","","","Supported Version of VSS - Minor version","","","6e70a598dbc7534c96c58c18e9888cfd"
"Vehicle.VersionVSS.Patch","attribute","uint32","","","","","Supported Version of VSS - Patch version","","","69858f224af459338b9bfbff436dda45"
"Vehicle.VersionVSS.Label","attribute","string","","","","","Label to further describe the version","","","7c92cd50d24b5662922b27cb9a327e53"
"Vehicle.VehicleIdentification","branch","","","","","","Attributes that identify a vehicle","","","c33861c3e9125208b05f23fe922bf08e"
"Vehicle.VehicleIdentification.VIN","attribute","string","","","","","17-character Vehicle Identification Number (VIN) as defined by ISO 3779","","","6f0b6fa8c34f589baa92e565bc9df5bd"
"Vehicle.VehicleIdentification.WMI","attribute","string","","","","","3-character World Manufacturer Identification (WMI) as defined by ISO 3780","","","e7c86defbcd554a79f90ba85de58e133"
"Vehicle.VehicleIdentification.Brand","attribute","string","","","","","Vehicle brand or manufacturer","","","19fd645ff5385767bcdbf5dd4313483f"
"Vehicle.VehicleIdentification.Model","attribute","string","","","","","Vehicle model","","","dd3d3b72e6a85b3695ba25f829255403"
"Vehicle.VehicleIdentification.Year","attribute","uint16","","","","","Model year of the vehicle","","","9a76b0aca8e45f6fb33dbaf5b976b8b5"
"Vehicle.VehicleIdentification.ACRISSCode","attribute","string","","","","","The ACRISS Car Classification Code is a code used by many car rental companies.","","","de98b9de86f359b4bd703b2e3d48f25a"
"Vehicle.VehicleIdentification.bodyType","attribute","string","","","","","Indicates the design and body style of the vehicle (e.g. station wagon, hatchback, etc.).","","","3f6910e6773c532e986240e3d45f623b"
"Vehicle.VehicleIdentification.dateVehicleFirstRegistered","attribute","string","","","","","The date of the first registration of the vehicle with the respective public authorities.","","","a48af4a5ef28520090255ca1ea2610f1"
"Vehicle.VehicleIdentification.meetsEmissionStandard","attribute","string","","","","","Indicates that the vehicle meets the respective emission standard.","","","4324b78dfb865164ba91345564d88f39"
"Vehicle.VehicleIdentification.productionDate","attribute","string","","","","","The date of production of the item, e.g. vehicle.","","","fc755d9de42d5286bfd6b35e4dca6bcb"
"Vehicle.VehicleIdentification.purchaseDate","attribute","string","","","","","The date the item e.g. vehicle was purchased by the current owner.","","","07ac6595c60a57318b627a05775d696a"
"Vehicle.VehicleIdentification.vehicleModelDate","attribute","string","","","","","The release date of a vehicle model (often used to differentiate versions of the same make and model).","","","8292d5c6e0b15a92b97d301b31a6f27b"
"Vehicle.VehicleIdentification.vehicleConfiguration","attribute","string","","","","","A short text indicating the configuration of the vehicle, e.g. '5dr hatchback ST 2.5 MT 225 hp' or 'limited edition'.","","","d5efd9741e5f582f8a8da0d93811347f"
"Vehicle.VehicleIdentification.vehicleSeatingCapacity","attribute","uint16","","","","","The number of passengers that can be seated in the vehicle, both in terms of the physical space available, and in terms of limitations set by law.","","","0d00e8ecfccf52d9aed6abbe5938df5d"
"Vehicle.VehicleIdentification.vehicleSpecialUsage","attribute","string","","","","","Indicates whether the vehicle has been used for special purposes, like commercial rental, driving school.","","","5d4264def1fd5328a45108a62a4770b1"
"Vehicle.VehicleIdentification.vehicleinteriorColor","attribute","string","","","","","The color or color combination of the interior of the vehicle.","","","aea3643341d650959293617972a9405e"
"Vehicle.VehicleIdentification.vehicleinteriorType","attribute","string","","","","","The type or material of the interior of the vehicle (e.g. synthetic fabric, leather, wood, etc.).","","","a2466d9fa9b05409ba53ed46660b7147"
"Vehicle.VehicleIdentification.knownVehicleDamages","attribute","string","","","","","A textual description of known damages, both repaired and unrepaired.","","","60f32d73afff58d0ac80c1c09b98dfb9"
"Vehicle.LowVoltageSystemState","sensor","string","","","","","State of the supply voltage of the control units (usually 12V).","","","d7391ceb132e5519b02d4c13d5513d99"
"Vehicle.IgnitionOn","sensor","boolean","V2.2 replaced by LowVoltageSystemState","","","","Indicates whether the vehicle ignition is on or off.","","","6de19e6839af5f62acab3fbbd8077a98"
"Vehicle.IgnitionOnTime","sensor","uint32","","s","","","Accumulated ignition on time in seconds.","","","ffae3b559998574ba58ee66dd0ac5d39"
"Vehicle.IgnitionOffTime","sensor","uint32","","s","","","Accumulated ignition off time in seconds.","","","c0c4467bb00d5c0683c5bb81bcfdcb3e"
"Vehicle.DriveTime","sensor","uint32","","s","","","Accumulated drive time in seconds.","","","f707495fbe155b7fa109dbb69c021850"
"Vehicle.IdleTime","sensor","uint32","","s","","","Accumulated idle time in seconds.","","","97be8abc404f5c15a78e7edc6296ab04"
"Vehicle.Speed","sensor","float","","km/h","","","Vehicle speed","","","efe50798638d55fab18ab7d43cc490e9"
"Vehicle.TravelledDistance","sensor","float","","km","","","Odometer reading, total distance travelled during the lifetime of the vehicle.","","","90be9d7b0ac15b75a83027ea3b73b65b"
"Vehicle.TripMeterReading","sensor","float","","km","","","Current trip meter reading","","","81f51ebfe29c591190171d7b96e1c948"
"Vehicle.AmbientAirTemperature","sensor","float","","celsius","","","Ambient air temperature outside the vehicle.","","","2ffcbc2e6ea75dd991e3ae80b29a1d85"
"Vehicle.IsMoving","sensor","boolean","","","","","Indicates whether the vehicle is stationary or moving","","","db69549cc7375e919c2a2883b41cd19c"
"Vehicle.AverageSpeed","sensor","float","","km/h","","","Average speed for the current trip","","","43a489636a665c3abb99b63174eb552b"
"Vehicle.Acceleration","branch","","","","","","Spatial acceleration","","","6c490e6a798c5abc8f0178ed6deae0a8"
"Vehicle.Acceleration.Longitudinal","sensor","float","","m/s^2","","","Vehicle acceleration in X (longitudinal acceleration).","","","3d511fe7232b5841be311b37f322de5a"
"Vehicle.Acceleration.Lateral","sensor","float","","m/s^2","","","Vehicle acceleration in Y (lateral acceleration).","","","7522c5d6b7665b16a099643b2700e93c"
"Vehicle.Acceleration.Vertical","sensor","float","","m/s^2","","","Vehicle acceleration in Z (vertical acceleration).","","","a4a8a7c4ac5b52deb0b3ee4ed8787c59"
